Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
59427493,"The Voyage Home (Women of Troy, #3)",Pat Barker,"Barker, Pat",,"=""0241568269""","=""9780241568262""",4.0,Penguin Books,Kindle Edition,320,2024,2024,2026/05/03,2023/11/29,,,read,,,,1,0
62057697,"Twisted Love (Twisted, #1)",Ana Huang,"Huang, Ana",,"=""1728274869""","=""9781728274867""",1.0,Bloom Books,Paperback,343,2022,2021,2026/05/03,2026/04/28,,,read,,,,1,0
44778083,"House of Earth and Blood (Crescent City, #1)",Sarah J. Maas,"Maas, Sarah J.",,"=""1635574048""","=""9781635574043""",5.0,Bloomsbury Publishing,Hardcover,803,2020,2020,2026/04/29,2025/12/29,,,read,,,,1,0
223889699,"The Secret of Secrets (Robert Langdon, #6)",Dan    Brown,"Brown, Dan",,"=""0385546890""","=""9780385546898""",5.0,Doubleday,Hardcover,677,2025,2025,2026/04/23,2025/12/29,,,read,,,,1,0
240139608,Tender Is the Flesh,Agustina Bazterrica,"Bazterrica, Agustina",Sarah Moses,"=""1982150920""","=""9781982150921""",4.0,Scribner,Paperback,209,2020,2017,2026/04/18,2026/04/16,,,read,,,,1,0
15823480,Anna Karenina,Leo Tolstoy,"Tolstoy, Leo","Aylmer Maude, Louise Maude, Dieter Wellershoff, Bruno Goetz, Lev Tolstoj","=""0345803922""","=""9780345803924""",5.0,Vintage,Paperback,964,2012,1878,2026/04/16,2024/12/30,,,read,,,,1,0
60442757,Black Mamba,William  Friend,"Friend, William",,"=""1838956557""","=""9781838956554""",4.0,Atlantic,Hardcover,320,2022,,2022/05/15,2022/05/11,,,read,"3.5 stars for the story, that extra 0.5 for the good writing.<br/><br/>When I saw the book, I was fascinated by the cover because it seemed very cool. I was even more intrigued by the plot, so I had to claim it in Readers First.<br/>After a bit of a struggle of getting it out of my post box, I started reading it immediately.<br/>The book itself is not very scary or horrifying, but disturbing because you are not quite sure what the hell is happening, but want to know what happens next. This book made me feel the same as when I watched those speculative documentaries on children who had memories ""from their past lives"", a bit troubled by the story but curious. <br/>Other than book a good horror book, it looked at grief and how families deal with it,  which is essentially what Black Mamba is based on. There is a lot that plays in the story and you are given quite some detail about it, but more in depth into Pippa and Julia's childhood would complete the story even more.<br/>I was expecting this book to have some odd supernatural things, but it did leave you with a sense of the story not being done, and the interpretation is quite open. Maybe a sequel?<br/><br/>I enjoyed this book quite a lot and it was a quick read. Also gorgeous, gorgeous cover",,,1,0
61439040,1984,George Orwell,"Orwell, George",Thomas Pynchon,"=""0452284236""","=""9780452284234""",5.0,Plume,Paperback,368,2022,1949,2026/03/24,2025/12/12,,,read,,,,1,0
154008491,The Rest is History: The Official Book from the Makers of the Hit Podcast,Tom Holland,"Holland, Tom",Dominic Sandbrook,"=""1526667703""","=""9781526667700""",4.0,Bloomsbury Publishing,Kindle Edition,524,2023,2023,2026/03/22,2024/12/30,,,read,,,,1,0
50892004,A Cuban Girl's Guide to Tea and Tomorrow,Laura Taylor Namey,"Namey, Laura Taylor",,"=""1534471243""","=""9781534471245""",4.0,Atheneum Books for Young Readers,Hardcover,308,2020,2020,2026/03/19,2022/08/03,,,read,,,,1,0
13153370,My Policeman,Bethan Roberts,"Roberts, Bethan",,"=""0701185848""","=""9780701185848""",4.0,Chatto & Windus,Hardcover,352,2012,2012,2026/03/15,2022/09/11,,,read,,,,1,0
136806359,Collected Plays: Volume 1,Wole Soyinka,"Soyinka, Wole",,"=""""","=""""",4.0,"Oxford University Press, U.S.A.",Paperback,,2007,1973,2026/03/11,2026/03/08,,,read,,,,1,0
536955,The Soul of a Butterfly: Reflections on Life's Journey,Muhammad Ali,"Ali, Muhammad",,"=""""","=""""",4.0,Simon & Schuster,Hardcover,256,2004,2004,2026/03/10,2024/01/18,,,read,,,,1,0
50224049,How to Kill Your Family,Bella Mackie,"Mackie, Bella",,"=""""","=""""",4.0,The Borough Press,Hardcover,355,2021,2021,2026/03/08,2021/12/28,,,read,,,,1,0
60099660,If You Could See the Sun,Ann Liang,"Liang, Ann",,"=""1335915842""","=""9781335915849""",4.0,Inkyard Press,Hardcover,346,2022,2022,2026/03/05,2023/01/12,,,read,,,,1,0
210223811,Katabasis,R.F. Kuang,"Kuang, R.F.",,"=""""","=""""",5.0,HarperVoyager,Kindle Edition,559,2025,2025,2026/03/04,2025/10/13,,,read,,,,1,0
49794584,Sanditon,Jane Austen,"Austen, Jane",,"=""0241433711""","=""9780241433713""",3.0,Penguin Classics,Paperback,196,2019,1871,2026/03/03,2026/03/01,,,read,,,,1,0
44098,The Inmates Are Running the Asylum: Why High Tech Products Drive Us Crazy and How to Restore the Sanity,Alan Cooper,"Cooper, Alan",,"=""""","=""""",4.0,Sams Publishing,Paperback,255,2004,1999,2026/02/23,2026/02/16,,,read,,,,1,0
132391,The Little Mermaid,Hans Christian Andersen,"Andersen, Hans Christian","Anthea Bell, Lisbeth Zwerger","=""""","=""""",5.0,Minedition,Hardcover,48,2004,1836,2026/02/21,2026/02/20,,,read,,,,1,0
56978109,Ophelia After All,Racquel Marie,"Marie, Racquel",,"=""1250797306""","=""9781250797308""",4.0,Feiwel & Friends,Hardcover,341,2022,2022,2026/02/15,2022/02/09,,,read,,,,1,0
61273854,Is This Normal?: Judgment-Free Straight Talk About Your Body,Jolene Brighten,"Brighten, Jolene",,"=""1982196394""","=""9781982196394""",4.0,S&S/Simon Element,Hardcover,480,2023,,2026/02/15,2026/02/11,,,read,,,,1,0
62119766,"The Luis Ortega Survival Club: A Powerful YA Novel of Consent, Justice, and Finding Your Voice as an Autistic Survivor",Sonora Reyes,"Reyes, Sonora",Sonido Reyes,"=""0063060302""","=""9780063060302""",4.0,Versify,Hardcover,320,2023,2023,2026/02/10,2023/09/10,,,read,,,,1,0
55336157,i am so tired of feeling this way.,Rhys  Harding,"Harding, Rhys",,"=""""","=""""",4.0,,ebook,50,2020,,2026/02/10,2023/01/12,,,read,,,,1,0
62047984,Yellowface,R.F. Kuang,"Kuang, R.F.",,"=""""","=""""",4.0,William Morrow,Paperback,319,2023,2023,2026/02/10,2025/12/28,,,read,,,,1,0
80342136,Calypso in London (Little Clothbound Classics),Sam Selvon,"Selvon, Sam",,"=""0241630878""","=""9780241630877""",5.0,Penguin Classics,Hardcover,160,2023,,2026/02/09,2026/01/09,,,read,,,,1,0
58678549,The No-Show,Beth O'Leary,"O'Leary, Beth",,"=""0593438442""","=""9780593438442""",4.0,Berkley,Paperback,337,2022,2022,2026/02/09,2026/02/04,,,read,,,,1,0
74253854,The Design of Everyday Things: Revised and Expanded Edition,Donald A. Norman,"Norman, Donald A.",,"=""""","=""""",4.0,Basic Books,Kindle Edition,368,2013,1988,2026/02/06,2026/01/27,,,read,,,,1,0
54493401,Project Hail Mary,Andy Weir,"Weir, Andy",,"=""0593135202""","=""9780593135204""",5.0,Ballantine Books,Hardcover,476,2021,2021,2026/01/27,2025/12/29,,,read,,,,1,0
236814,Berlin Noir: March Violets / The Pale Criminal / A German Requiem (Bernie Gunther #1-3),Philip Kerr,"Kerr, Philip",,"=""0140231706""","=""9780140231700""",3.0,G.P. Putnam's Sons,Paperback,834,1993,1993,2026/01/24,2024/12/30,,,read,,,,1,0
18521,A Room of One’s Own,Virginia Woolf,"Woolf, Virginia",,"=""""","=""""",4.0,Penguin Books,Paperback,112,2000,1929,2026/01/14,2023/09/10,,,read,,,,1,0
5797,Vanity Fair,William Makepeace Thackeray,"Thackeray, William Makepeace",John Carey,"=""""","=""""",4.0,Penguin Books,Paperback,867,2003,1847,2026/01/10,2022/04/24,,,read,,,,1,0
15686,The Outsider,Albert Camus,"Camus, Albert",Joseph Laredo,"=""0141182504""","=""9780141182506""",4.0,Penguin Group,Paperback,119,2006,1942,2025/12/30,2025/12/28,,,read,,,,1,0
32261,Tess of the D’Urbervilles,Thomas Hardy,"Hardy, Thomas","Margaret R. Higonnet, Tim Dolin","=""""","=""""",5.0,Penguin Classics,Paperback,518,2003,1891,2025/12/28,2024/12/30,,,read,,,,1,0
53738576,Failosophy: A Handbook For When Things Go Wrong,Elizabeth  Day,"Day, Elizabeth",,"=""0008420386""","=""9780008420383""",4.0,Fourth Estate,Hardcover,112,2020,,2025/12/26,2025/12/09,,,read,,,,1,0
61335034,The Nutcracker,E.T.A. Hoffmann,"Hoffmann, E.T.A.","Joachim Neugroschel, R.J. Hollingdale, Sally Hayward","=""0241597064""","=""9780241597064""",4.0,Penguin Classics,Hardcover,208,2022,1816,2025/12/25,2025/12/24,,,read,,,,1,0
42834121,Transurfing in 78 Days — A Practical Course in Creating Your Own Reality,Vadim Zeland,"Zeland, Vadim",,"=""""","=""""",1.0,Ves Publishing Group,ebook,103,2018,2008,2025/12/25,2025/12/09,,,read,,,,1,0
48564330,Betty,Tiffany   McDaniel,"McDaniel, Tiffany",,"=""052565707X""","=""9780525657071""",5.0,Knopf,Hardcover,480,2020,2020,2025/12/22,2023/06/11,,,read,,,,1,0
61218611,Sexploration: A Reverse Age Gap Romantic Comedy (The Art of Sex Book 1),Amber Danielle,"Danielle, Amber","Tinley Blake, A.D. McCammon","=""""","=""""",3.0,,Kindle Edition,230,2022,,2025/12/17,2022/07/18,,,read,,,,1,0
20527879,They All Fall Down,Roxanne St. Claire,"Claire, Roxanne St.",,"=""0385742711""","=""9780385742719""",3.0,Delacorte Press,Hardcover,352,2014,2014,2025/12/16,2020/07/16,,,read,,,,1,0
343,Perfume: The Story of a Murderer,Patrick Süskind,"Süskind, Patrick",John E. Woods,"=""""","=""""",4.0,Penguin Books,Paperback,263,1987,1985,2025/12/12,2024/01/14,,,read,,,,1,0
3876,The Sun Also Rises,Ernest Hemingway,"Hemingway, Ernest",,"=""""","=""""",4.0,Pan Books,Paperback,189,1957,1926,2025/12/11,2024/01/12,,,read,,,,1,0
18839,Orlando,Virginia Woolf,"Woolf, Virginia","Sandra M. Gilbert, Brenda Lyons","=""0141184272""","=""9780141184272""",4.0,Modern Classics,Paperback,336,2000,1928,2025/12/10,2024/12/30,,,read,,,,1,0
76546,The Wild Iris,Louise Glück,"Glück, Louise",,"=""0880013346""","=""9780880013345""",4.0,Ecco,Paperback,65,1993,1992,2025/12/09,2025/12/09,,,read,,,,1,0
55297669,"Love & Other Disasters (Nashville Love, #1)",Anita Kelly,"Kelly, Anita",,"=""1538754851""","=""9781538754856""",3.0,Forever,Kindle Edition,384,2022,2022,2025/12/08,2023/01/12,,,read,,,,1,0
30753713,"The Kremlin's Candidate (Red Sparrow Trilogy, #3)",Jason  Matthews,"Matthews, Jason",,"=""1501140086""","=""9781501140082""",4.0,Scribner,Hardcover,435,2018,2018,2025/12/06,2025/11/25,,,read,,,,1,0
22609257,"Palace of Treason (Red Sparrow Trilogy, #2)",Jason  Matthews,"Matthews, Jason",,"=""1476793743""","=""9781476793740""",3.0,Scribner,Hardcover,480,2015,2015,2025/11/25,2025/11/20,,,read,,,,1,0
15803037,"Red Sparrow (Red Sparrow Trilogy, #1)",Jason  Matthews,"Matthews, Jason",,"=""1476706123""","=""9781476706122""",4.0,Scribner,Hardcover,434,2013,2013,2025/11/20,2021/05/29,,,read,,,,1,0
182126946,A History of Women in 101 Objects,Annabelle Hirsch,"Hirsch, Annabelle",Eleanor Updegraff,"=""0593728750""","=""9780593728758""",4.0,Crown,Hardcover,432,2024,2022,2025/11/13,2025/11/07,,,read,,,,1,0
57693648,Yerba Buena,Nina LaCour,"LaCour, Nina",,"=""1250810469""","=""9781250810465""",4.0,Flatiron Books,Hardcover,304,2022,2022,2025/11/04,2022/10/08,,,read,,,,1,0
